adoption	adoption	ADOPTION_PROD
cft-api-mgmt	cmc	CFT_API_MGMT_PROD
cmc	cmc	CMC_LEGAL_PROD
cmc-legal	cmc-legal	CMC_PROD
court-tribunal-hearings	ia-aip	COURT_TRIBUNAL_HEARINGS_PROD
div-amend	lau	DIV_AMEND_PROD
div-da	pcq	DIV_DA_PROD
div-dn	pip-frontend	DIV_DN_PROD
div-pfe	private-law	DIV_PFE_PROD
div-rfe	probate	DIV_RFE_PROD
dtsse-ardoq-adapter	sptribs-frontend	DTSSE_ARDOQ_ADAPTER_PROD
et-sya	et-sya	ET_SYA_PROD
fact	sscs-tribunals	FACT_ADMIN_PROD
fact-admin	sscs-tya	FACT_PROD
fact-redirect	default	FACT_REDIRECT_PROD
fees-register	default	FEES_REGISTER_PROD
gateway-ccd	default	GATEWAY_CCD_PROD
hmi-apim	default	HMI_APIM_PROD
ia-aip	ia-aip	IA_AIP_PROD
idam-user-dashboard	default	IDAM_USER_DASHBOARD_PROD
idam-web-admin	default	IDAM_WEB_ADMIN_PROD
idam-web-public	default	IDAM_WEB_PUBLIC_PROD
jd-bureau	default	JD_BUREAU_PROD
jd-reply-jury-summons	default	JD_REPLY_JURY_SUMMONS_PROD
jui-redirect	default	JUI_REDIRECT_PROD
lau	lau	LAU_PROD
manage-payments	default	MANAGE_PAYMENTS_PROD
nfdiv-civil-partnership	default	NFDIV_CIVIL_PARTNERSHIP_PROD
paybubble	default	PAYBUBBLE_PROD
payment-outcome	default	PAYMENT_OUTCOME_PROD
pcq	pcq	PCQ_PROD
pip-frontend	pip-frontend	PIP_FRONTEND_PROD
portal	default	PORTAL_PROD
private-law	private-law	PRIVATE_LAW_PROD
probate	probate	PROBATE_PROD
reformscan	default	REFORMSCAN_PROD
return-case-doc-ccd	default	RETURN_CASE_DOC_CCD_PROD
sds-api-mgmt	default	SDS_API_MGMT_PROD
sptribs-frontend	sptribs-frontend	SPTRIBS_FRONTEND_PROD
sscs-cor	sscs-cor	SSCS_COR_PROD
sscs-tribunals	sscs-tribunals	SSCS_TRIBUNALS_PROD
sscs-tya	sscs-tya	SSCS_TYA_PROD
vh-admin-web	default	VH_ADMIN_WEB_PROD
vh-video-web	default	VH_VIDEO_WEB_PROD
xui-approve-org	default	XUI_APPROVE_ORG_PROD
xui-manage-org	default	XUI_MANAGE_ORG_PROD
xui-register-org	default	XUI_REGISTER_ORG_PROD
xui-webapp	default	XUI_WEBAPP_PROD
